Tier 1 Contextual Category;Tier 2 Contextual Category; Cost (EUR) ;Impressions;Clicks;CTR (%); eCPM (EUR) ; eCPC (EUR) ;Leads (All); eCPL (All) (EUR) ;COV (%)
Sports;Bicycling; 204,24 ;229384;272;0,12%; 0,89 ; 0,75 ;5; 40,85 ;1,84%
Sports;Bodybuilding; 158,56 ;221079;272;0,12%; 0,72 ; 0,58 ;5; 31,71 ;1,84%
Sports;Boxing; 68,48 ;215531;267;0,12%; 0,32 ; 0,26 ;5; 13,70 ;1,87%
Sports;Canoeing/Kayaking; 20,40 ;210860;266;0,13%; 0,10 ; 0,08 ;5; 4,08 ;1,88%
Sports;Cheerleading; 22,72 ;211142;266;0,13%; 0,11 ; 0,09 ;5; 4,54 ;1,88%
Sports;Climbing; 46,48 ;213004;266;0,12%; 0,22 ; 0,17 ;5; 9,30 ;1,88%
Sports;Cricket; 109,76 ;219424;269;0,12%; 0,50 ; 0,41 ;5; 21,95 ;1,86%
Sports;Figure Skating; 46,40 ;213400;268;0,13%; 0,22 ; 0,17 ;5; 9,28 ;1,87%
Sports;Fly Fishing; 113,04 ;219572;271;0,12%; 0,51 ; 0,42 ;5; 22,61 ;1,85%
Sports;Football; 200,24 ;244846;281;0,11%; 0,82 ; 0,71 ;5; 40,05 ;1,78%
Sports;Freshwater Fishing; 49,84 ;213503;269;0,13%; 0,23 ; 0,19 ;5; 9,97 ;1,86%
Sports;Game & Fish; 35,36 ;211539;266;0,13%; 0,17 ; 0,13 ;5; 7,07 ;1,88%
Sports;Golf; 69,12 ;214338;266;0,12%; 0,32 ; 0,26 ;5; 13,82 ;1,88%
Sports;Horse Racing; 20,32 ;210819;266;0,13%; 0,10 ; 0,08 ;5; 4,06 ;1,88%
Sports;Horses; 253,84 ;249949;286;0,11%; 1,02 ; 0,89 ;5; 50,77 ;1,75%
Sports;Hunting/Shooting; 36,08 ;212223;268;0,13%; 0,17 ; 0,13 ;5; 7,22 ;1,87%
Sports;Inline Skating; 21,28 ;210871;266;0,13%; 0,10 ; 0,08 ;5; 4,26 ;1,88%
Sports;Martial Arts; 58,48 ;215244;266;0,12%; 0,27 ; 0,22 ;5; 11,70 ;1,88%
Sports;Mountain Biking; 95,04 ;218061;269;0,12%; 0,44 ; 0,35 ;5; 19,01 ;1,86%
Sports;n/a; 17 889,92 ;1808708;1031;0,06%; 9,89 ; 17,35 ;6; 2 981,65 ;0,58%
Sports;NASCAR Racing; 82,32 ;219616;270;0,12%; 0,37 ; 0,30 ;5; 16,46 ;1,85%
Sports;Olympics; 135,52 ;220369;275;0,12%; 0,61 ; 0,49 ;5; 27,10 ;1,82%
Sports;Paintball; 30,88 ;212092;266;0,13%; 0,15 ; 0,12 ;5; 6,18 ;1,88%
Sports;Power & Motorcycles; 357,68 ;244454;284;0,12%; 1,46 ; 1,26 ;5; 71,54 ;1,76%
Sports;Pro Basketball; 208,24 ;230946;277;0,12%; 0,90 ; 0,75 ;5; 41,65 ;1,81%
Sports;Pro Ice Hockey; 333,12 ;247502;276;0,11%; 1,35 ; 1,21 ;5; 66,62 ;1,81%
Sports;Rodeo; 37,12 ;211668;266;0,13%; 0,18 ; 0,14 ;5; 7,42 ;1,88%
Sports;Rugby; 48,40 ;213390;267;0,13%; 0,23 ; 0,18 ;5; 9,68 ;1,87%
Sports;Running/Jogging; 71,60 ;214668;269;0,13%; 0,33 ; 0,27 ;5; 14,32 ;1,86%
Sports;Sailing; 20,88 ;210966;266;0,13%; 0,10 ; 0,08 ;5; 4,18 ;1,88%
Sports;Saltwater Fishing; 49,92 ;213508;269;0,13%; 0,23 ; 0,19 ;5; 9,98 ;1,86%
Sports;Scuba Diving; 25,04 ;211177;266;0,13%; 0,12 ; 0,09 ;5; 5,01 ;1,88%
Sports;Skateboarding; 34,64 ;211874;268;0,13%; 0,16 ; 0,13 ;5; 6,93 ;1,87%
